position,Mic_05,Mic_06,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
0,-6.151071,6.127267,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120,2.425495,-2.409120
102,-5.446763,5.477640,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271,2.115298,-2.143271
186,-5.350882,5.324920,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326,2.112990,-2.089326
246,-5.440690,5.480245,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854,2.144696,-2.173854
306,-5.450875,5.469783,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302,2.157509,-2.168302
366,-5.469655,5.486768,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849,2.168186,-2.176849
426,-5.419855,5.381147,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101,2.160849,-2.123101
486,-5.458750,5.464433,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553,2.167176,-2.165553
546,-5.443495,5.466729,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973,2.157286,-2.169973
606,-5.397088,5.367521,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747,2.150910,-2.119747
666,-5.325720,5.306773,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470,2.121273,-2.098470
726,-5.493981,5.509615,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085,2.181740,-2.187085
786,-5.273818,5.339144,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843,2.084686,-2.131843
846,-5.338752,5.301666,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396,2.137592,-2.098396
906,-5.291416,5.272186,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811,2.122888,-2.098811
966,-5.339531,5.379255,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228,2.146281,-2.174228
1026,-5.169049,5.128110,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252,2.137268,-2.092252
1086,-4.981359,4.966124,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548,2.146614,-2.124548
